cp,asentamiento,municipio,zona,precio_envio
90193,Quiahuixtla Norte,Santa Isabel Xiloxoxtla,Intermedia,100
90193,INFONAVIT 5 de Mayo,Santa Isabel Xiloxoxtla,Intermedia,100
90194,Parque Industrial Xiloxoxtla,Santa Isabel Xiloxoxtla,Intermedia,100
90194,Quiahuixtla Sur,Santa Isabel Xiloxoxtla,Intermedia,100
90194,Culhuaca,Santa Isabel Xiloxoxtla,Intermedia,100
90194,Independencia,Santa Isabel Xiloxoxtla,Intermedia,100
90195,San Juan Huactzinco,San Juan Huactzinco,Intermedia,100
90200,Calpulalpan Centro,Calpulalpan,Lejana,150
90202,Xahuanxolco,Calpulalpan,Lejana,150
90202,San Rafael,Calpulalpan,Lejana,150
90202,La Cañada,Calpulalpan,Lejana,150
90203,El Palmar,Calpulalpan,Lejana,150
90203,San Pedro,Calpulalpan,Lejana,150
90203,La Rosa,Calpulalpan,Lejana,150
90203,Calpulli,Calpulalpan,Lejana,150
90203,INFONAVIT,Calpulalpan,Lejana,150
90203,Coesillos,Calpulalpan,Lejana,150
90203,Loma Bonita,Calpulalpan,Lejana,150
90203,Trabajadores Federados,Calpulalpan,Lejana,150
90203,Europa,Calpulalpan,Lejana,150
90203,Argos,Calpulalpan,Lejana,150
90203,San Miguel,Calpulalpan,Lejana,150
90203,Las Dalias,Calpulalpan,Lejana,150
90204,Villas del Sur,Calpulalpan,Lejana,150
90204,El Mirador (Las Conchitas),Calpulalpan,Lejana,150
90204,La Nopalera,Calpulalpan,Lejana,150
90204,Esmeralda,Calpulalpan,Lejana,150
90205,La Herradura (El Calvario),Calpulalpan,Lejana,150
90205,Arboledas,Calpulalpan,Lejana,150
90205,Los Volcanes,Calpulalpan,Lejana,150
90205,Pocitos,Calpulalpan,Lejana,150
90205,San Antonio Calpulalpan,Calpulalpan,Lejana,150
90205,San Isidro,Calpulalpan,Lejana,150
90207,Los Ángeles,Calpulalpan,Lejana,150
90207,Santa Cecilia,Calpulalpan,Lejana,150
90207,Francisco Sarabia,Calpulalpan,Lejana,150
90207,Salvador Guarneros,Calpulalpan,Lejana,150
90207,San Bartolomé del Monte,Calpulalpan,Lejana,150
90208,El Refugio,Calpulalpan,Lejana,150
90208,Alfonso Espejel,Calpulalpan,Lejana,150
90208,Belén,Calpulalpan,Lejana,150
90208,Nazaret,Calpulalpan,Lejana,150
90208,Independencia,Calpulalpan,Lejana,150
90208,Los Pinos,Calpulalpan,Lejana,150
